70001	平安銀行	378,649,743	2.20%
70002	萬 科Ａ	186,105,091	1.91%
70005	世紀星源	2,033	0.00%
70006	深振業Ａ	471,451	0.03%
70008	神州高鐵	3,708,722	0.13%
70009	中國寶安	7,516,510	0.34%
70011	深物業A	121,811	0.02%
70012	南 玻Ａ	1,867,252	0.10%
70016	深康佳Ａ	8,412,400	0.52%
70018	神州長城	325,852	0.02%
70019	深深寶A	2,610	0.00%
70021	深科技	1,784,924	0.12%
70022	深赤灣Ａ	38,101	0.00%
70025	特力Ａ	84,018	0.03%
70027	深圳能源	8,007,833	0.20%
70028	國藥一致	2,367,101	0.63%
70030	富奧股份	1,168,171	0.06%
70031	中糧地產	18,441,776	1.01%
70034	神州數碼	390,606	0.05%
70035	中國天楹	657,000	0.04%
70036	華聯控股	803,821	0.07%
70039	中集集團	12,109,219	0.95%
70040	東旭藍天	751,399	0.05%
70042	中洲控股	315,850	0.04%
70043	中航善達	953,340	0.14%
70045	深紡織Ａ	3	0.00%
70046	泛海控股	1,384,531	0.02%
70049	德賽電池	103,457	0.05%
70050	深天馬Ａ	5,652,919	0.27%
70055	方大集團	1,287	0.00%
70058	深 賽 格	442,871	0.04%
70059	華錦股份	4,139,148	0.25%
70060	中金嶺南	25,231,177	0.70%
70061	農 產 品	1,184,932	0.06%
70062	深圳華強	2,923,568	0.40%
70063	中興通訊	19,807,170	0.57%
70065	北方國際	447,290	0.05%
70066	中國長城	4,954,742	0.16%
70068	華控賽格	5,222,632	0.51%
70069	華僑城Ａ	23,519,919	0.28%
70070	特發信息	1,385,448	0.22%
70078	海王生物	5,948,314	0.22%
70088	鹽 田 港	840,702	0.04%
70089	深圳機場	79,362,539	3.86%
70090	天健集團	1,085,817	0.07%
70096	廣聚能源	11,541,942	2.18%
70099	中信海直	4,739,449	0.78%
70100	TCL 集團	44,430,986	0.32%
70150	宜華健康	1,281,206	0.20%
70155	川化股份	101,174	0.00%
70156	華數傳媒	3,013,874	0.21%
70157	中聯重科	72,942,498	1.13%
70158	常山北明	4,511,424	0.27%
70166	申萬宏源	49,086,397	0.21%
70301	東方市場	79,514	0.00%
70333	美的集團	872,711,135	13.13%
70338	濰柴動力	178,162,873	2.94%
70400	許繼電氣	4,346,333	0.43%
70401	冀東水泥	10,345,918	0.76%
70402	金 融 街	10,880,811	0.36%
70407	勝利股份	148,831	0.01%
70409	*ST地礦	5,090	0.00%
70413	東旭光電	11,904,767	0.21%
70415	渤海金控	6,033,040	0.09%
70417	合肥百貨	2,284,912	0.29%
70418	小天鵝Ａ	29,736,914	6.73%
70422	*ST宜化	29,500	0.00%
70423	東阿阿膠	47,059,667	7.19%
70425	徐工機械	233,251,790	2.97%
70426	興業礦業	550,731	0.02%
70428	華天酒店	50,000	0.00%
70429	粵高速Ａ	3,561,196	0.20%
70488	晨鳴紙業	4,551,439	0.27%
70498	山東路橋	617,577	0.05%
70501	鄂武商Ａ	1,204,083	0.15%
70503	國新健康	8,478,366	0.94%
